CO_UF;NO_UF;DEPENDENCIA_ADM;LOCALIZACAO;MEDIA_5_LP;MEDIA_5_MT;MEDIA_9_LP;MEDIA_9_MT;MEDIA_12_LP;MEDIA_12_MT;nivel_0_LP5;nivel_1_LP5;nivel_2_LP5;nivel_3_LP5;nivel_4_LP5;nivel_5_LP5;nivel_6_LP5;nivel_7_LP5;nivel_8_LP5;nivel_9_LP5;nivel_0_MT5;nivel_1_MT5;nivel_2_MT5;nivel_3_MT5;nivel_4_MT5;nivel_5_MT5;nivel_6_MT5;nivel_7_MT5;nivel_8_MT5;nivel_9_MT5;nivel_10_MT5;nivel_0_LP9;nivel_1_LP9;nivel_2_LP9;nivel_3_LP9;nivel_4_LP9;nivel_5_LP9;nivel_6_LP9;nivel_7_LP9;nivel_8_LP9;nivel_0_MT9;nivel_1_MT9;nivel_2_MT9;nivel_3_MT9;nivel_4_MT9;nivel_5_MT9;nivel_6_MT9;nivel_7_MT9;nivel_8_MT9;nivel_9_MT9;nivel_0_LP12;nivel_1_LP12;nivel_2_LP12;nivel_3_LP12;nivel_4_LP12;nivel_5_LP12;nivel_6_LP12;nivel_7_LP12;nivel_8_LP12;nivel_0_MT12;nivel_1_MT12;nivel_2_MT12;nivel_3_MT12;nivel_4_MT12;nivel_5_MT12;nivel_6_MT12;nivel_7_MT12;nivel_8_MT12;nivel_9_MT12;nivel_10_MT12
21;Maranhão;Estadual;Rural;178,59;176,51;209,15;203,92;232,83;226,55;15,04;14,78;16,32;28,9;7,1;9,49;5,99;1,18;1,21;0;1,08;15,11;41,3;21,14;15,45;3,53;2,39;0;0;0;0;48,54;14,3;12,8;13,26;5,37;4,45;0,95;0,34;0;52,66;16,43;13,97;10,19;5,83;0,76;0;0,15;0;0;46,31;21,87;15,67;9,57;4,55;1,49;0,51;0,04;0;52,16;20,03;14,71;8,11;3,27;1,25;0,37;0,08;0,02;0;0
21;Maranhão;Estadual;Total;178,6;181,39;244,51;238,92;253,29;246,56;12,39;18,83;14,77;23,77;14,7;9,27;4,28;0,99;1;0;2,85;9,9;37,16;22,86;17,12;7,03;2,54;0,54;0;0;0;22,45;13,94;16,66;16,69;14,34;9,79;4,47;1,63;0,03;24,32;16,2;18,39;16,09;13,48;6,68;3,21;1,27;0,36;0;30,61;18,58;18,18;14,98;9,89;5,41;2;0,32;0,03;35,6;18,94;17,69;13,84;7,66;3,96;1,59;0,56;0,14;0,03;0
21;Maranhão;Estadual;Urbana;178,6;184,47;249,07;243,43;256,57;249,77;10,73;21,38;13,79;20,54;19,49;9,13;3,19;0,87;0,87;0;3,97;6,62;34,55;23,94;18,17;9,24;2,63;0,87;0;0;0;19,08;13,9;17,16;17,13;15,5;10,48;4,93;1,79;0,04;20,67;16,17;18,96;16,85;14,47;7,45;3,62;1,41;0,41;0;28,09;18,05;18,58;15,84;10,75;6,04;2,24;0,37;0,03;32,95;18,76;18,16;14,77;8,36;4,39;1,79;0,63;0,16;0,03;0
21;Maranhão;Federal;Rural;248,29;239,18;282,25;299,33;;;0;0;0;11,11;11,11;33,33;22,22;5,56;16,67;0;0;0;0;11,11;33,33;27,78;16,67;5,56;0;5,56;0;0;0;21,43;21,43;28,57;14,29;14,29;0;0;0;7,14;0;7,14;28,57;35,71;21,43;0;0;0;;;;;;;;;;;;;;;;;;;;
21;Maranhão;Federal;Total;264,94;266,18;296,33;306,22;317,39;319,64;0;0;0;3,73;7,44;23,49;23,72;25,5;16,11;0;0;0;1,27;7,55;11,19;13,68;25,75;17,14;14,63;8,78;0;3,07;0;7,79;9,29;29,27;26,1;19,9;4,58;0;1,51;3,12;4,7;10,88;18,61;29,2;18,44;10,54;3,01;0;6,09;3,16;2,85;12,77;27,98;24,11;18,73;4,31;0;4,54;6,4;7,39;8,68;22,5;19,88;21,52;5,52;3,56;0;0
21;Maranhão;Federal;Urbana;269,67;273,83;300,24;308,14;317,39;319,64;0;0;0;1,64;6,4;20,7;24,15;31,16;15,95;0;0;0;1,63;6,55;4,91;9,68;28,32;20,43;18,78;9,69;0;3,92;0;4;5,92;29,46;29,38;21,46;5,85;0;1,92;2;6;11,92;15,85;27,38;17,62;13,46;3,85;0;6,09;3,16;2,85;12,77;27,98;24,11;18,73;4,31;0;4,54;6,4;7,39;8,68;22,5;19,88;21,52;5,52;3,56;0;0
21;Maranhão;Municipal;Rural;171,82;185,61;222,09;220,19;234,9;231,42;14;23,51;20,96;16,02;11,79;7,6;3,79;1,61;0,63;0,1;4,11;16;24,94;22,88;15,69;8,59;4,35;2,24;0,87;0,32;0,01;33,42;21,29;18,65;13,92;8,08;3,33;1,07;0,24;0;35,86;20,29;18,25;13,39;7,93;3,11;0,84;0,29;0,05;0;33,33;33,33;22,22;11,11;0;0;0;0;0;33,33;33,33;22,22;11,11;0;0;0;0;0;0;0
21;Maranhão;Municipal;Total;181,13;193,65;232,95;230,68;277,61;271,66;10,49;19,04;19,94;17,76;14,25;9,75;5,32;2,33;0,98;0,15;2,92;12,17;21,92;23,1;17,75;11,41;6,14;3,01;1,16;0,4;0,01;25,86;18,92;19,22;16,78;11,21;5,49;2,03;0,48;0,02;27,89;18,79;19,46;15,86;10,73;5;1,6;0,54;0,13;0;14,27;16,87;15,58;24,69;10,4;10,4;7,8;0;0;24,67;14,27;12,98;14,29;13;7,8;10,4;2,6;0;0;0
21;Maranhão;Municipal;Urbana;185,35;197,3;238,15;235,69;300,6;293,32;8,9;17,01;19,47;18,55;15,37;10,72;6,01;2,65;1,14;0,17;2,37;10,43;20,56;23,2;18,69;12,68;6,95;3,36;1,29;0,44;0,02;22,24;17,8;19,49;18,15;12,71;6,52;2,48;0,59;0,02;24,07;18,07;20,05;17,04;12,07;5,9;1,97;0,67;0,17;0;4;8;12;32;16;16;12;0;0;20;4;8;16;20;12;16;4;0;0;0
21;Maranhão;Privada;Rural;218,5;216,23;261,61;263,15;278,18;273,88;4,19;2,89;13,01;12,34;19,73;22,84;12,57;9,98;2,45;0;0,32;4,19;10,54;18,2;26,09;17,46;17,15;5,39;0,65;0;0;11,55;10,68;14,84;21,59;20,84;14,43;4,91;1,16;0;10,34;12,01;19,58;16,16;17,96;11,37;10,28;2,31;0;0;13,46;7,69;26,92;25;13,46;5,77;7,69;0;0;9,62;21,15;23,08;13,46;19,23;11,54;1,92;0;0;0;0
21;Maranhão;Privada;Total;224,13;232,35;280,19;283,78;310,71;313,18;1,34;3,44;8,68;17,1;20,09;19,9;15,68;10,62;2,67;0,49;0,38;1,57;7,08;11,67;22,42;23,39;18,77;9,1;4,1;1,53;0;6,97;6,51;10,52;18,22;20,52;19,77;11,95;5,38;0,15;5,39;5,92;11,42;17,26;20,88;20,43;11,33;5,4;1,97;0;6,41;4,56;9,52;13,69;22,26;24,33;14,25;4,8;0,16;6,6;5,88;11,5;14,4;18,09;18,16;13,2;6,34;4,71;1,11;0
21;Maranhão;Privada;Urbana;224,43;233,22;281,07;284,76;312,25;315,04;1,18;3,46;8,44;17,36;20,11;19,74;15,85;10,66;2,68;0,52;0,39;1,42;6,89;11,32;22,22;23,71;18,86;9,3;4,28;1,61;0;6,76;6,32;10,32;18,06;20,5;20,02;12,29;5,58;0,15;5,16;5,63;11,04;17,32;21,01;20,86;11,38;5,54;2,06;0;6,08;4,41;8,7;13,16;22,68;25,21;14,56;5,03;0,17;6,46;5,16;10,95;14,44;18,04;18,47;13,74;6,64;4,94;1,17;0
21;Maranhão;Total - Estadual e Municipal;Rural;171,84;185,58;221,76;219,79;232,83;226,55;14;23,49;20,94;16,05;11,78;7,61;3,8;1,6;0,63;0,1;4,1;15,99;24,98;22,87;15,69;8,58;4,35;2,23;0,87;0,32;0,01;33,8;21,11;18,5;13,9;8,01;3,35;1,07;0,24;0;36,28;20,19;18,14;13,31;7,88;3,05;0,82;0,28;0,05;0;46,29;21,88;15,68;9,57;4,54;1,49;0,5;0,04;0;52,14;20,05;14,72;8,11;3,27;1,25;0,37;0,08;0,02;0;0
21;Maranhão;Total - Estadual e Municipal;Total;181,12;193,63;233,73;231,23;253,3;246,57;10,5;19,04;19,92;17,78;14,26;9,75;5,31;2,32;0,98;0,15;2,92;12,16;21,96;23,1;17,75;11,4;6,13;3,01;1,16;0,4;0,01;25,63;18,59;19,05;16,77;11,42;5,78;2,19;0,55;0,02;27,65;18,61;19,39;15,87;10,91;5,11;1,71;0,59;0,15;0;30,6;18,58;18,18;14,98;9,89;5,42;2;0,32;0,03;35,6;18,93;17,68;13,84;7,66;3,96;1,6;0,56;0,14;0,03;0
21;Maranhão;Total - Estadual e Municipal;Urbana;185,34;197,28;239,09;236,36;256,59;249,79;8,9;17,02;19,46;18,56;15,38;10,72;6;2,65;1,14;0,17;2,38;10,43;20,58;23,2;18,69;12,68;6,94;3,36;1,29;0,44;0,02;21,96;17,46;19,29;18,06;12,95;6,86;2,7;0,69;0,02;23,78;17,9;19,95;17,02;12,27;6,03;2,11;0,73;0,19;0;28,08;18,04;18,58;15,85;10,75;6,05;2,24;0,37;0,03;32,94;18,75;18,16;14,77;8,37;4,4;1,79;0,63;0,16;0,03;0
21;Maranhão;Total - Federal, Estadual e Municipal;Rural;171,89;185,61;221,8;219,83;232,83;226,55;14;23,47;20,93;16,05;11,78;7,62;3,81;1,61;0,64;0,1;4,1;15,98;24,97;22,86;15,7;8,59;4,35;2,23;0,87;0,33;0,01;33,78;21,1;18,51;13,91;8,02;3,36;1,08;0,24;0;36,26;20,18;18,13;13,3;7,89;3,07;0,83;0,28;0,05;0;46,29;21,88;15,68;9,57;4,54;1,49;0,5;0,04;0;52,14;20,05;14,72;8,11;3,27;1,25;0,37;0,08;0,02;0;0
21;Maranhão;Total - Federal, Estadual e Municipal;Total;181,19;193,69;233,78;231,29;253,36;246,64;10,49;19,02;19,91;17,76;14,25;9,76;5,33;2,34;0,99;0,15;2,91;12,15;21,94;23,09;17,75;11,4;6,15;3,02;1,17;0,41;0,01;25,61;18,57;19,04;16,77;11,44;5,79;2,21;0,56;0,02;27,63;18,6;19,38;15,87;10,92;5,13;1,73;0,6;0,15;0;30,58;18,56;18,17;14,98;9,91;5,43;2,02;0,33;0,03;35,57;18,92;17,67;13,84;7,68;3,98;1,61;0,56;0,14;0,03;0
21;Maranhão;Total - Federal, Estadual e Municipal;Urbana;185,42;197,35;239,14;236,42;256,65;249,86;8,9;17,01;19,44;18,54;15,37;10,73;6,02;2,68;1,16;0,17;2,38;10,42;20,57;23,19;18,68;12,67;6,96;3,37;1,3;0,45;0,02;21,95;17,44;19,28;18,05;12,96;6,88;2,71;0,7;0,02;23,76;17,89;19,94;17,02;12,28;6,05;2,13;0,74;0,2;0;28,06;18,03;18,57;15,85;10,77;6,07;2,26;0,37;0,03;32,91;18,74;18,15;14,76;8,38;4,41;1,81;0,64;0,16;0,03;0
21;Maranhão;Total - Federal, Estadual, Municipal e Privada;Rural;172,95;186,31;222,37;220,45;233,6;227,36;13,77;23;20,75;15,96;11,96;7,97;4,01;1,8;0,68;0,1;4,01;15,72;24,64;22,76;15,93;8,79;4,64;2,3;0,87;0,32;0,01;33,46;20,95;18,45;14,02;8,21;3,52;1,13;0,25;0;35,88;20,07;18,15;13,34;8,04;3,19;0,97;0,31;0,05;0;45,74;21,64;15,87;9,84;4,69;1,56;0,63;0,04;0;51,42;20,07;14,86;8,2;3,54;1,42;0,39;0,08;0,02;0;0
21;Maranhão;Total - Federal, Estadual, Municipal e Privada;Total;186,5;198,47;238,02;236,09;256,24;249,98;9,36;17,1;18,52;17,68;14,97;11,01;6,61;3,37;1,2;0,19;2,6;10,85;20,1;21,68;18,32;12,88;7,71;3,77;1,53;0,55;0,01;23,9;17,47;18,26;16,9;12,27;7,07;3,1;1;0,03;25,59;17,44;18,65;15,99;11,83;6,53;2,6;1,04;0,32;0;29,37;17,86;17,73;14,91;10,53;6,38;2,63;0,55;0,03;34,11;18,27;17,36;13,87;8,2;4,69;2,2;0,85;0,37;0,08;0
21;Maranhão;Total - Federal, Estadual, Municipal e Privada;Urbana;191,77;203,19;244,26;242,32;259,73;253,47;7,64;14,8;17,65;18,35;16,14;12,19;7,62;3,98;1,4;0,22;2,05;8,95;18,34;21,25;19,25;14,47;8,9;4,34;1,79;0,64;0,01;20,09;16,08;18,18;18,05;13,89;8,49;3,88;1,29;0,04;21,49;16,39;18,85;17,05;13,34;7,86;3,26;1,33;0,42;0;26,85;17,28;18,02;15,7;11,43;7,12;2,94;0,63;0,04;31,45;17,99;17,75;14,74;8,92;5,19;2,47;0,97;0,43;0,09;0
22;Piauí;Estadual;Rural;;;231,28;227,52;237,68;234,29;;;;;;;;;;;;;;;;;;;;;;16,43;27,99;23,72;22,61;5,05;3;1,2;0;0;27,24;17,3;32,79;8,17;13,3;1,2;0;0;0;0;41,21;20,56;18,25;11,7;6,38;1,49;0,41;0;0;44,03;20,77;16,55;11,37;4,61;2,24;0,2;0,22;0;0;0
22;Piauí;Estadual;Total;220,89;232,82;250,4;251,15;260,73;259,23;2,96;5,07;10,06;15,56;20,2;20,01;12,72;6,91;4,87;1,64;0,54;2,44;8,05;14,76;19,4;19,45;16,23;10,86;5,51;2,77;0;15,26;14,9;18,38;20,25;15,98;9,98;4,25;0,96;0,04;14,33;14,81;19,15;20,4;17,09;8,99;3,61;1,22;0,4;0;25,5;16,7;18,84;16,54;12,43;6,99;2,52;0,47;0,02;25,46;17,43;19,31;17,49;10,79;6,08;2,36;0,77;0,27;0,04;0
22;Piauí;Estadual;Urbana;220,89;232,82;250,56;251,35;262,3;260,93;2,96;5,07;10,06;15,56;20,2;20,01;12,72;6,91;4,87;1,64;0,54;2,44;8,05;14,76;19,4;19,45;16,23;10,86;5,51;2,77;0;15,25;14,79;18,34;20,23;16,07;10,04;4,28;0,97;0,04;14,21;14,79;19,04;20,51;17,12;9,06;3,64;1,23;0,4;0;24,43;16,43;18,88;16,87;12,84;7,37;2,66;0,5;0,02;24,2;17,2;19,5;17,91;11,21;6,35;2,5;0,81;0,28;0,05;0
22;Piauí;Federal;Rural;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Piauí;Federal;Total;;;;;306,3;323,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,5;3,78;9,82;17,76;21,82;22,4;14,12;2,8;0;5,62;3,65;6,23;14,03;19,01;21,44;13,76;10,16;4,07;2,03;0
22;Piauí;Federal;Urbana;;;;;306,3;323,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,5;3,78;9,82;17,76;21,82;22,4;14,12;2,8;0;5,62;3,65;6,23;14,03;19,01;21,44;13,76;10,16;4,07;2,03;0
22;Piauí;Municipal;Rural;185,21;200,82;237,71;242,47;;;8,65;17,54;20,24;18,68;14,38;9,52;6,4;3,01;1,33;0,25;2,34;10,08;20,25;22,63;16,88;12,1;8,1;4,28;2,25;1,09;0,02;21,65;18,38;20,3;18,76;12,44;5,7;2,27;0,47;0,03;20,2;17,13;19,12;19,01;12,18;7,46;3,15;1,12;0,64;0;;;;;;;;;;;;;;;;;;;;
22;Piauí;Municipal;Total;199,75;213,52;249,61;255,03;250,1;245,71;5,63;12,57;16,93;17,77;15,81;13,45;9,52;5,21;2,49;0,62;1,52;6,78;15,22;20,05;18,29;14,85;10,96;7,11;3,6;1,61;0,04;16,07;15,21;18,7;19,5;15,3;9,52;4,42;1,23;0,04;14,61;14,09;17,77;18,73;15,81;10,54;5,14;2,21;1,09;0;26,36;29,86;17,26;12,81;7,01;4,46;2,23;0;0;27,72;31,84;16,72;14,25;7,24;0;2,23;0;0;0;0
22;Piauí;Municipal;Urbana;205,01;218,12;255,08;260,81;250,1;245,71;4,54;10,77;15,73;17,43;16,33;14,87;10,65;6,01;2,91;0,76;1,22;5,59;13,39;19,11;18,8;15,84;11,99;8,13;4,08;1,79;0,05;13,51;13,76;17,97;19,84;16,62;11,28;5,41;1,59;0,04;12,04;12,69;17,15;18,6;17,48;11,96;6,06;2,71;1,3;0;26,36;29,86;17,26;12,81;7,01;4,46;2,23;0;0;27,72;31,84;16,72;14,25;7,24;0;2,23;0;0;0;0
22;Piauí;Privada;Rural;;;240,69;257,83;274,86;246,17;;;;;;;;;;;;;;;;;;;;;;23,81;4,76;14,29;23,81;28,57;4,76;0;0;0;9,52;19,05;4,76;33,33;19,05;14,29;0;0;0;0;0;14,29;64,29;0;7,14;14,29;0;0;0;28,57;21,43;28,57;14,29;0;7,14;0;0;0;0;0
22;Piauí;Privada;Total;240,38;250,13;298,37;309,31;325,21;338,08;0,63;2,36;4,55;11,48;17,19;20,29;19,19;14,72;8,24;1,34;0,06;1,28;3,35;9,25;15,09;19,62;20,55;18,09;8,99;3,72;0;3,5;2,98;6,96;12,46;19,78;25,98;18,63;9,1;0,61;2,16;2,72;6,06;12;17,91;19,45;18,11;12,65;8,94;0;3,86;2,72;6,67;10,28;18,87;25,18;22,89;9,44;0,08;3,74;3,13;6,22;11,21;15,51;14,77;17,41;12,62;10,22;5,17;0
22;Piauí;Privada;Urbana;240,38;250,13;298,56;309,48;325,39;338,41;0,63;2,36;4,55;11,48;17,19;20,29;19,19;14,72;8,24;1,34;0,06;1,28;3,35;9,25;15,09;19,62;20,55;18,09;8,99;3,72;0;3,43;2,98;6,94;12,42;19,75;26,06;18,69;9,13;0,61;2,13;2,67;6,06;11,93;17,9;19,47;18,17;12,69;8,97;0;3,87;2,68;6,47;10,32;18,91;25,22;22,98;9,47;0,08;3,65;3,07;6,14;11,2;15,56;14,8;17,47;12,67;10,26;5,19;0
22;Piauí;Total - Estadual e Municipal;Rural;185,21;200,82;237,66;242,34;237,68;234,29;8,65;17,54;20,24;18,68;14,38;9,52;6,4;3,01;1,33;0,25;2,34;10,08;20,25;22,63;16,88;12,1;8,1;4,28;2,25;1,09;0,02;21,6;18,46;20,33;18,79;12,38;5,68;2,26;0,46;0,03;20,26;17,13;19,24;18,92;12,19;7,4;3,12;1,11;0,63;0;41,21;20,56;18,25;11,7;6,38;1,49;0,41;0;0;44,03;20,77;16,55;11,37;4,61;2,24;0,2;0,22;0;0;0
22;Piauí;Total - Estadual e Municipal;Total;200,14;213,88;249,8;254,07;260,71;259,2;5,58;12,43;16,8;17,72;15,89;13,57;9,58;5,25;2,54;0,64;1,5;6,7;15,08;19,95;18,31;14,93;11,06;7,18;3,63;1,63;0,04;15,87;15,14;18,63;19,68;15,47;9,63;4,38;1,17;0,04;14,54;14,27;18,12;19,15;16,13;10,16;4,76;1,97;0,92;0;25,5;16,73;18,84;16,53;12,41;6,98;2,52;0,47;0,02;25,47;17,46;19,3;17,49;10,78;6,07;2,36;0,77;0,27;0,04;0
22;Piauí;Total - Estadual e Municipal;Urbana;205,41;218,49;253,62;257,76;262,27;260,9;4,5;10,63;15,59;17,39;16,43;15;10,7;6,04;2,96;0,78;1,2;5,51;13,26;19;18,81;15,93;12,1;8,2;4,12;1,82;0,05;14,07;14,09;18,09;19,96;16,44;10,88;5,04;1,39;0,04;12,74;13,37;17,76;19,22;17,36;11,02;5,28;2,24;1,01;0;24,43;16,47;18,88;16,86;12,82;7,36;2,66;0,5;0,02;24,2;17,24;19,49;17,9;11,2;6,33;2,5;0,81;0,28;0,05;0
22;Piauí;Total - Federal, Estadual e Municipal;Rural;185,21;200,82;237,66;242,34;237,68;234,29;8,65;17,54;20,24;18,68;14,38;9,52;6,4;3,01;1,33;0,25;2,34;10,08;20,25;22,63;16,88;12,1;8,1;4,28;2,25;1,09;0,02;21,6;18,46;20,33;18,79;12,38;5,68;2,26;0,46;0,03;20,26;17,13;19,24;18,92;12,19;7,4;3,12;1,11;0,63;0;41,21;20,56;18,25;11,7;6,38;1,49;0,41;0;0;44,03;20,77;16,55;11,37;4,61;2,24;0,2;0,22;0;0;0
22;Piauí;Total - Federal, Estadual e Municipal;Total;200,14;213,88;249,8;254,07;260,93;259,51;5,58;12,43;16,8;17,72;15,89;13,57;9,58;5,25;2,54;0,64;1,5;6,7;15,08;19,95;18,31;14,93;11,06;7,18;3,63;1,63;0,04;15,87;15,14;18,63;19,68;15,47;9,63;4,38;1,17;0,04;14,54;14,27;18,12;19,15;16,13;10,16;4,76;1,97;0,92;0;25,41;16,67;18,79;16,53;12,46;7,06;2,58;0,48;0,02;25,37;17,4;19,24;17,47;10,82;6,14;2,41;0,82;0,28;0,05;0
22;Piauí;Total - Federal, Estadual e Municipal;Urbana;205,41;218,49;253,62;257,76;262,5;261,22;4,5;10,63;15,59;17,39;16,43;15;10,7;6,04;2,96;0,78;1,2;5,51;13,26;19;18,81;15,93;12,1;8,2;4,12;1,82;0,05;14,07;14,09;18,09;19,96;16,44;10,88;5,04;1,39;0,04;12,74;13,37;17,76;19,22;17,36;11,02;5,28;2,24;1,01;0;24,34;16,4;18,83;16,86;12,87;7,43;2,72;0,51;0,02;24,11;17,17;19,42;17,88;11,24;6,41;2,56;0,86;0,3;0,06;0
22;Piauí;Total - Federal, Estadual, Municipal e Privada;Rural;185,21;200,82;237,66;242,38;238,03;234,4;8,65;17,54;20,24;18,68;14,38;9,52;6,4;3,01;1,33;0,25;2,34;10,08;20,25;22,63;16,88;12,1;8,1;4,28;2,25;1,09;0,02;21,61;18,43;20,32;18,81;12,42;5,68;2,26;0,46;0,03;20,24;17,13;19,2;18,95;12,21;7,42;3,11;1,1;0,63;0;40,82;20,5;18,68;11,59;6,39;1,61;0,41;0;0;43,89;20,78;16,67;11,4;4,57;2,28;0,2;0,21;0;0;0
22;Piauí;Total - Federal, Estadual, Municipal e Privada;Total;206,36;219,48;257,22;262,5;270,31;270,98;4,82;10,87;14,91;16,76;16,09;14,61;11,06;6,71;3,42;0,75;1,28;5,86;13,27;18,29;17,81;15,66;12,53;8,86;4,46;1,95;0,04;13,98;13,28;16,85;18,58;16,13;12,13;6,55;2,38;0,12;12,65;12,5;16,28;18,05;16,4;11,58;6,8;3,6;2,15;0;22,27;14,63;17,02;15,62;13,39;9,7;5,54;1,79;0,03;22,21;15,31;17,34;16,56;11,5;7,4;4,6;2,54;1,73;0,8;0
22;Piauí;Total - Federal, Estadual, Municipal e Privada;Urbana;212,34;224,76;262,2;267,63;272,17;273,09;3,73;8,99;13,4;16,22;16,58;16,05;12,38;7,76;4,01;0,89;0,97;4,67;11,29;17,07;18,07;16,66;13,78;10,16;5,09;2,2;0,04;12,04;11,97;15,96;18,52;17,07;13,77;7,65;2,87;0,15;10,72;11,32;15,53;17,83;17,47;12,64;7,74;4,23;2,53;0;21,2;14,29;16,93;15,86;13,8;10,17;5,84;1,89;0,03;20,96;15;17,38;16,85;11,9;7,7;4,85;2,67;1,83;0,85;0
23;Ceará;Estadual;Rural;184,31;192,89;237,4;226,2;266,38;265,88;10,04;16,97;15,04;23,43;14,95;9,91;6,19;2,96;0,51;0;2,03;11,7;24,6;23,41;19,11;9,88;4,06;4,7;0,51;0;0;25,87;14,51;14,23;24,48;13,18;7,02;0,7;0;0;31,57;19,01;15,22;21,89;5,6;6,05;0,66;0;0;0;21;15,41;19,65;18,4;13,74;8,73;2,57;0,51;0;21,5;15,72;19,38;18,33;13,7;7,19;2,75;1,05;0,28;0,08;0
23;Ceará;Estadual;Total;214,75;228,1;257,67;253,04;270,21;266,07;7,04;9,05;10,29;16,64;12,3;13,71;12,94;10,81;6,27;0,95;1,52;6,07;13,68;15,18;14,8;11,28;13,42;10,95;7,57;5,37;0,16;14,35;11,58;15,9;19,02;18,3;12,74;6,11;1,94;0,06;14,96;14,28;18,02;20,07;15,11;10,47;4,5;1,74;0,86;0;20,49;14,03;17,42;18,38;15,27;9,71;3,91;0,78;0,02;22,11;15,55;18,59;18,6;12,91;7,34;3,24;1,19;0,38;0,09;0
23;Ceará;Estadual;Urbana;230,61;246,45;258,12;253,63;270,42;266,08;5,48;4,92;7,82;13,1;10,92;15,69;16,45;14,89;9,28;1,44;1,25;3,14;7,98;10,9;12,56;12,01;18,3;14,2;11,26;8,16;0,24;14,1;11,51;15,93;18,9;18,41;12,87;6,23;1,99;0,06;14,6;14,17;18,08;20,03;15,32;10,56;4,58;1,78;0,88;0;20,46;13,96;17,3;18,38;15,35;9,76;3,98;0,79;0,02;22,14;15,54;18,54;18,62;12,87;7,35;3,26;1,19;0,39;0,09;0
23;Ceará;Federal;Rural;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Ceará;Federal;Total;;;323,85;349,37;332,56;349,77;;;;;;;;;;;;;;;;;;;;;;0;1,75;0,85;6,37;13,32;24,85;28,36;23,61;0,89;0,93;0;1,75;4,31;3,57;14,32;19,23;24,08;31,81;0;0;1,44;2,54;12,23;24,49;30,16;14,85;14,29;0;0;2,29;8,48;5,19;15,58;14,71;14,11;22,47;9,98;7,19;0
23;Ceará;Federal;Urbana;;;323,85;349,37;332,56;349,77;;;;;;;;;;;;;;;;;;;;;;0;1,75;0,85;6,37;13,32;24,85;28,36;23,61;0,89;0,93;0;1,75;4,31;3,57;14,32;19,23;24,08;31,81;0;0;1,44;2,54;12,23;24,49;30,16;14,85;14,29;0;0;2,29;8,48;5,19;15,58;14,71;14,11;22,47;9,98;7,19;0
23;Ceará;Municipal;Rural;216,93;231,85;261,17;266,37;;;3,98;8,16;11,02;14,61;16,97;16,99;13,96;8,34;4,76;1,22;0,89;4,66;9,8;14,81;16,56;16,37;14,55;10,93;6,62;4,59;0,23;12,3;11,8;15,43;18,51;18,41;14,25;7,11;2,05;0,13;12,12;10,96;14,99;17,28;17,18;13,23;8;4,28;1,95;0;;;;;;;;;;;;;;;;;;;;
23;Ceará;Municipal;Total;219,09;231,48;264,3;265,4;;;3,35;7,24;10,64;14,5;17,6;17,66;14,37;8,79;4,74;1,12;0,86;3,93;9,45;15,13;17,68;17,28;14,48;10,59;6,38;4,02;0,2;11,15;10,54;14,98;19,01;19,34;14,7;7,79;2,4;0,09;11,51;10,81;15,44;18,38;18,41;13,09;7,13;3,57;1,66;0;;;;;;;;;;;;;;;;;;;;
23;Ceará;Municipal;Urbana;219,78;231,37;265,26;265,1;;;3,15;6,95;10,51;14,46;17,8;17,87;14,49;8,94;4,74;1,09;0,85;3,7;9,34;15,23;18,04;17,56;14,45;10,49;6,3;3,84;0,19;10,79;10,15;14,85;19,17;19,62;14,83;8;2,51;0,08;11,32;10,77;15,57;18,72;18,79;13,04;6,87;3,35;1,56;0;;;;;;;;;;;;;;;;;;;;
23;Ceará;Privada;Rural;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Ceará;Privada;Total;232,24;240,92;287,79;290,81;315,2;322,88;1,49;2,86;5,87;12,81;18,96;22,33;18,25;11,05;5,77;0,61;0,66;1,45;3,98;11,79;18,13;22,75;18,43;13,13;6,9;2,65;0,13;4,86;5,19;8,73;15,36;22,39;22,37;15,25;5,78;0,07;4,55;5,01;10,44;15,39;19,41;19,49;15,1;7,46;3,16;0;7,98;3,28;6,87;11,75;20,62;23,85;18,55;6,85;0,26;8;4,59;6,57;12,77;13,9;20,44;14,45;9,36;6,83;3,09;0
23;Ceará;Privada;Urbana;232,24;240,92;287,79;290,81;315,2;322,88;1,49;2,86;5,87;12,81;18,96;22,33;18,25;11,05;5,77;0,61;0,66;1,45;3,98;11,79;18,13;22,75;18,43;13,13;6,9;2,65;0,13;4,86;5,19;8,73;15,36;22,39;22,37;15,25;5,78;0,07;4,55;5,01;10,44;15,39;19,41;19,49;15,1;7,46;3,16;0;7,98;3,28;6,87;11,75;20,62;23,85;18,55;6,85;0,26;8;4,59;6,57;12,77;13,9;20,44;14,45;9,36;6,83;3,09;0
