CO_UF;NO_UF;DEPENDENCIA_ADM;LOCALIZACAO;CAPITAL;MEDIA_5_LP;MEDIA_5_MT;MEDIA_9_LP;MEDIA_9_MT;MEDIA_12_LP;MEDIA_12_MT;nivel_1_LP5;nivel_2_LP5;nivel_3_LP5;nivel_4_LP5;nivel_5_LP5;nivel_6_LP5;nivel_7_LP5;nivel_8_LP5;nivel_9_LP5;nivel_0_MT5;nivel_1_MT5;nivel_2_MT5;nivel_3_MT5;nivel_4_MT5;nivel_5_MT5;nivel_6_MT5;nivel_7_MT5;nivel_8_MT5;nivel_9_MT5;nivel_10_MT5;nivel_0_LP9;nivel_1_LP9;nivel_2_LP9;nivel_3_LP9;nivel_4_LP9;nivel_5_LP9;nivel_6_LP9;nivel_7_LP9;nivel_8_LP9;nivel_0_MT9;nivel_1_MT9;nivel_2_MT9;nivel_3_MT9;nivel_4_MT9;nivel_5_MT9;nivel_6_MT9;nivel_7_MT9;nivel_8_MT9;nivel_9_MT9;nivel_0_LP12;nivel_1_LP12;nivel_2_LP12;nivel_3_LP12;nivel_4_LP12;nivel_5_LP12;nivel_6_LP12;nivel_7_LP12;nivel_8_LP12;nivel_0_MT12;nivel_1_MT12;nivel_2_MT12;nivel_3_MT12;nivel_4_MT12;nivel_5_MT12;nivel_6_MT12;nivel_7_MT12;nivel_8_MT12;nivel_9_MT12;nivel_10_MT12
14;Roraima;Total - Estadual e Municipal;Urbana;Total;202,69;217,48;238,5;237,39;249,05;249,19;9,03;16,17;20,57;19,79;15,24;9,64;4,18;1,54;0,33;0,94;4,77;12,78;20,23;19,09;17,85;13,03;6,56;3,49;1,01;0,25;23,93;16,03;18,72;17,35;13,7;7,17;2,33;0,78;0;20,64;19,25;21,9;18,29;11,27;6,05;1,75;0,69;0,13;0,01;31,86;19,89;18,83;14,97;9,61;3,45;1,11;0,27;0;31,21;21,65;19,9;14,51;7,42;3,63;1,15;0,39;0,14;0;0
14;Roraima;Total - Federal, Estadual e Municipal;Rural;Capital;194,83;210,9;244,01;234,48;0;0;11,41;18,47;21,97;20,8;11,23;9,37;2,47;0,44;0;1,17;4,84;14,26;23,12;23,95;12,32;9,78;7,21;2,1;1,24;0;15,86;17,9;17,74;25,58;12,74;5,47;4,7;0;0;17,44;20,55;30,18;22,1;4,7;5,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;Roraima;Total - Federal, Estadual e Municipal;Rural;Interior;171,71;182,06;221,55;220,55;235,23;238,02;22,96;22,08;19,62;14;5,23;3,35;1,14;0,29;0;3,3;15,54;27,84;25,68;15,23;8,37;3;0,79;0;0,13;0,1;31,33;20,15;23,37;15,72;6,74;2,09;0,6;0;0;28,08;25,64;25,25;14,11;4,7;2,22;0;0;0;0;40,39;25,76;20,51;10,12;2,1;1,12;0;0;0;37,59;27,12;18,81;13,37;1,65;1,47;0;0;0;0;0
14;Roraima;Total - Federal, Estadual e Municipal;Rural;Total;175,67;187,01;224,25;222,23;235,23;238,02;20,98;21,46;20,02;15,16;6,26;4,38;1,37;0,32;0;2,94;13,71;25,51;25,24;16,73;9,05;4,17;1,89;0,36;0,32;0,08;29,47;19,88;22,69;16,91;7,47;2,49;1,1;0;0;26,8;25,02;25,85;15,07;4,7;2,56;0;0;0;0;40,39;25,76;20,51;10,12;2,1;1,12;0;0;0;37,59;27,12;18,81;13,37;1,65;1,47;0;0;0;0;0
14;Roraima;Total - Federal, Estadual e Municipal;Total;Capital;208,5;225,09;242,87;240,81;252,89;251,59;7,44;13,88;19,25;20,87;16,97;11,25;5,18;1,9;0,41;0,64;3,98;10,03;16,64;19,67;18,94;15,66;8,35;4,43;1,34;0,32;22,02;14,66;18,12;17,69;15,14;7,91;3,24;1,22;0;19,71;18,12;20,67;18,49;12,47;6,61;2,4;1,13;0,36;0,04;29,29;19,2;19,25;15,3;11,02;4,14;1,49;0,31;0;31,08;19,63;19,37;14,74;8,17;4,51;1,57;0,71;0,23;0;0
14;Roraima;Total - Federal, Estadual e Municipal;Total;Interior;179,29;188,76;226,58;227,18;238,27;242,92;17,43;23,1;22,97;15,57;7,93;4,1;0,91;0,28;0,04;2,43;10,19;23,9;29,81;16,84;11,88;3,82;0,87;0,15;0,08;0,04;29,14;19,71;21,04;16,37;8,67;4,38;0,6;0,11;0;24,36;23,14;25,25;16,47;6,55;3,83;0,34;0,04;0;0;39,34;22,67;18,01;12,45;5,59;1,57;0,29;0,09;0;32,48;27,25;20,67;13,33;3,94;1,95;0,37;0;0;0;0
14;Roraima;Total - Federal, Estadual e Municipal;Total;Total;199,06;213,35;237,14;236,02;248,42;248,94;10,66;16,86;20,45;19,16;14,05;8,94;3,8;1,37;0,29;1,22;5,99;14,51;20,89;18,76;16,66;11,84;5,93;3,05;0,93;0,23;24,52;16,43;19,15;17,22;12,86;6,67;2,31;0,83;0;21,35;19,89;22,28;17,78;10,39;5,63;1,67;0,75;0,23;0,03;32,36;20,26;18,87;14,43;9,36;3,35;1,12;0,24;0;31,51;21,96;19,77;14,31;6,88;3,73;1,2;0,49;0,16;0;0
14;Roraima;Total - Federal, Estadual e Municipal;Urbana;Capital;208,99;225,6;242,85;240,97;252,89;251,59;7,29;13,72;19,15;20,87;17,18;11,32;5,28;1,95;0,43;0,62;3,95;9,88;16,4;19,52;19,18;15,88;8,39;4,52;1,34;0,33;22,17;14,58;18,13;17,49;15,2;7,97;3,2;1,25;0;19,77;18,06;20,43;18,4;12,67;6,65;2,46;1,16;0,36;0,04;29,29;19,2;19,25;15,3;11,02;4,14;1,49;0,31;0;31,08;19,63;19,37;14,74;8,17;4,51;1,57;0,71;0,23;0;0
14;Roraima;Total - Federal, Estadual e Municipal;Urbana;Interior;183,42;192,41;229,05;230,43;239,72;245,27;14,42;23,65;24,8;16,43;9,4;4,51;0,79;0,27;0,06;1,95;7,27;21,76;32,06;17,71;13,79;4,27;0,91;0,23;0,05;0;28,06;19,49;19,89;16,69;9,61;5,5;0,6;0,16;0;22,54;21,92;25,24;17,63;7,47;4,63;0,5;0,06;0;0;38,83;21,2;16,82;13,56;7,25;1,78;0,43;0,13;0;30,05;27,31;21,57;13,31;5,04;2,17;0,55;0;0;0;0
14;Roraima;Total - Federal, Estadual e Municipal;Urbana;Total;202,79;217,56;239,1;238,11;249,86;250,14;9,02;16,12;20,52;19,79;15,29;9,67;4,19;1,54;0,34;0,94;4,76;12,76;20,2;19,08;17,87;13,06;6,57;3,48;1,03;0,25;23,77;15,91;18,61;17,27;13,68;7,3;2,49;0,96;0;20,52;19,11;21,74;18,19;11,26;6,1;1,92;0,86;0,27;0,03;31,48;19,66;18,69;14,9;10,15;3,6;1,25;0,27;0;30,84;21,39;19,87;14,41;7,45;3,97;1,33;0,54;0,17;0;0
14;Roraima;Total - Federal, Estadual, Municipal e Privada;Rural;Capital;194,83;210,9;244,01;234,48;0;0;11,41;18,47;21,97;20,8;11,23;9,37;2,47;0,44;0;1,17;4,84;14,26;23,12;23,95;12,32;9,78;7,21;2,1;1,24;0;15,86;17,9;17,74;25,58;12,74;5,47;4,7;0;0;17,44;20,55;30,18;22,1;4,7;5,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;Roraima;Total - Federal, Estadual, Municipal e Privada;Rural;Interior;171,71;182,06;221,55;220,55;235,23;238,02;22,96;22,08;19,62;14;5,23;3,35;1,14;0,29;0;3,3;15,54;27,84;25,68;15,23;8,37;3;0,79;0;0,13;0,1;31,33;20,15;23,37;15,72;6,74;2,09;0,6;0;0;28,08;25,64;25,25;14,11;4,7;2,22;0;0;0;0;40,39;25,76;20,51;10,12;2,1;1,12;0;0;0;37,59;27,12;18,81;13,37;1,65;1,47;0;0;0;0;0
14;Roraima;Total - Federal, Estadual, Municipal e Privada;Rural;Total;175,67;187,01;224,25;222,23;235,23;238,02;20,98;21,46;20,02;15,16;6,26;4,38;1,37;0,32;0;2,94;13,71;25,51;25,24;16,73;9,05;4,17;1,89;0,36;0,32;0,08;29,47;19,88;22,69;16,91;7,47;2,49;1,1;0;0;26,8;25,02;25,85;15,07;4,7;2,56;0;0;0;0;40,39;25,76;20,51;10,12;2,1;1,12;0;0;0;37,59;27,12;18,81;13,37;1,65;1,47;0;0;0;0;0
14;Roraima;Total - Federal, Estadual, Municipal e Privada;Total;Capital;212,04;227,96;247,52;246,52;259,35;259,69;6,9;12,98;18,18;20,41;17,3;12,55;6,23;2,44;0,44;0,59;3,61;9,45;15,48;19,13;19,09;16,5;9,49;4,66;1,58;0,4;20,29;13,6;17,5;17,12;15,49;9,88;4,41;1,72;0;18,1;16,91;19,28;18,02;12,74;8,28;4,05;1,9;0,59;0,11;26,33;17,48;18,41;15,46;12,77;6,14;2,64;0,72;0,05;27,72;18,25;17,86;14,93;8,94;6,44;3,41;1,69;0,68;0,09;0
14;Roraima;Total - Federal, Estadual, Municipal e Privada;Total;Interior;179,29;188,76;226,58;227,18;238,27;242,92;17,43;23,1;22,97;15,57;7,93;4,1;0,91;0,28;0,04;2,43;10,19;23,9;29,81;16,84;11,88;3,82;0,87;0,15;0,08;0,04;29,14;19,71;21,04;16,37;8,67;4,38;0,6;0,11;0;24,36;23,14;25,25;16,47;6,55;3,83;0,34;0,04;0;0;39,34;22,67;18,01;12,45;5,59;1,57;0,29;0,09;0;32,48;27,25;20,67;13,33;3,94;1,95;0,37;0;0;0;0
14;Roraima;Total - Federal, Estadual, Municipal e Privada;Total;Total;202,25;216,25;240,67;240,2;253,53;255,06;10,04;16;19,61;18,97;14,5;10,02;4,64;1,79;0,32;1,14;5,58;13,77;19,76;18,44;16,94;12,72;6,91;3,31;1,13;0,29;23,18;15,6;18,65;16,87;13,26;8,08;3,16;1,2;0;20,15;18,95;21,23;17,52;10,72;6,83;2,84;1,29;0,4;0,08;29,92;18,91;18,3;14,63;10,78;4,88;1,99;0,54;0,04;29,04;20,74;18,63;14,49;7,56;5,2;2,57;1,22;0,49;0,06;0
14;Roraima;Total - Federal, Estadual, Municipal e Privada;Urbana;Capital;212,59;228,51;247,6;246,79;259,35;259,69;6,75;12,8;18,06;20,4;17,49;12,65;6,35;2,5;0,46;0,58;3,57;9,3;15,23;18,97;19,31;16,72;9,56;4,75;1,59;0,41;20,39;13,51;17,49;16,93;15,55;9,98;4,4;1,76;0;18,12;16,83;19,04;17,93;12,92;8,36;4,14;1,94;0,61;0,12;26,33;17,48;18,41;15,46;12,77;6,14;2,64;0,72;0,05;27,72;18,25;17,86;14,93;8,94;6,44;3,41;1,69;0,68;0,09;0
14;Roraima;Total - Federal, Estadual, Municipal e Privada;Urbana;Interior;183,42;192,41;229,05;230,43;239,72;245,27;14,42;23,65;24,8;16,43;9,4;4,51;0,79;0,27;0,06;1,95;7,27;21,76;32,06;17,71;13,79;4,27;0,91;0,23;0,05;0;28,06;19,49;19,89;16,69;9,61;5,5;0,6;0,16;0;22,54;21,92;25,24;17,63;7,47;4,63;0,5;0,06;0;0;38,83;21,2;16,82;13,56;7,25;1,78;0,43;0,13;0;30,05;27,31;21,57;13,31;5,04;2,17;0,55;0;0;0;0
14;Roraima;Total - Federal, Estadual, Municipal e Privada;Urbana;Total;206,13;220,51;242,96;242,7;255,32;256,73;8,45;15,2;19,55;19,52;15,7;10,85;5,12;2,01;0,37;0,88;4,39;12,06;18,96;18,69;18,09;13,96;7,65;3,75;1,25;0,32;22,31;15;18,09;16,87;14,06;8,86;3,45;1,36;0;19,22;18,1;20,59;17,86;11,56;7,42;3,23;1,47;0,46;0,09;28,9;18,24;18,09;15,07;11,64;5,25;2,18;0,6;0,04;28,2;20,11;18,62;14,6;8,14;5,57;2,82;1,34;0,54;0,07;0
15;Pará;Estadual;Rural;Capital;176,28;176,35;0;0;0;0;15,79;21,05;36,84;15,79;0;5,26;0;0;0;5,26;10,53;42,11;21,05;10,53;5,26;5,26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;Pará;Estadual;Rural;Interior;166,58;174,74;218,11;213,65;231,45;231,8;24,71;26,77;14,41;9,92;4,03;3,8;1,36;0,19;0;4,82;17,54;34,28;25,78;10,91;3,23;2,04;1;0,4;0;0;35,85;22,86;18,99;13,41;6,46;2,04;0,33;0,05;0;37,22;27,41;20,18;9,64;3,76;1,54;0,16;0,11;0;0;47,87;20,58;15,58;9,72;4,38;1,49;0,32;0,06;0;45,05;23,4;17,5;8,15;4,16;1,35;0,34;0,05;0;0;0
15;Pará;Estadual;Rural;Total;166,92;174,79;218,11;213,65;231,45;231,8;24,39;26,56;15,2;10,13;3,89;3,85;1,31;0,19;0;4,83;17,3;34,56;25,61;10,9;3,3;2,15;0,96;0,39;0;0;35,85;22,86;18,99;13,41;6,46;2,04;0,33;0,05;0;37,22;27,41;20,18;9,64;3,76;1,54;0,16;0,11;0;0;47,87;20,58;15,58;9,72;4,38;1,49;0,32;0,06;0;45,05;23,4;17,5;8,15;4,16;1,35;0,34;0,05;0;0;0
15;Pará;Estadual;Total;Capital;192,07;195,61;235,99;228,56;241,26;239,91;13,16;19,65;21,34;19,07;12,01;6,63;2,52;0,82;0,15;1,73;9,25;20,98;24,86;21,53;12,82;6,11;2,1;0,49;0,1;0,01;23,16;17,65;20,1;18,5;12,79;5,71;1,57;0,52;0;24,94;22,34;23,32;16,22;8,65;3,37;0,91;0,23;0,02;0;41,04;17,6;15,84;12,41;8,03;3,61;1,31;0,14;0,02;40,05;21,41;16,62;11,18;6,32;2,7;1,22;0,38;0,13;0;0
15;Pará;Estadual;Total;Interior;185,97;191,49;229,78;223,82;236,83;236,41;15,5;21,92;19,75;16,21;10,53;5,17;2,47;0,98;0,18;2,07;11,81;23,1;25,49;18,65;10,59;5,5;2,03;0,54;0,2;0,02;27,01;19,98;20,13;16,62;10,29;4,43;1,19;0,35;0;28,68;24,18;22,41;14,19;6,92;2,67;0,77;0,13;0,04;0,02;43,54;19,38;16,49;11,21;6,05;2,47;0,72;0,13;0,01;41,7;22,89;17,43;10,05;4,99;2,1;0,64;0,14;0,05;0,01;0
15;Pará;Estadual;Total;Total;189,6;193,94;231,86;225,4;237,48;236,92;14,11;20,57;20,7;17,91;11,41;6,04;2,5;0,88;0,16;1,87;10,29;21,84;25,12;20,37;11,91;5,86;2,07;0,51;0,14;0,01;25,72;19,2;20,12;17,25;11,13;4,86;1,32;0,41;0;27,43;23,57;22,71;14,87;7,5;2,9;0,81;0,16;0,03;0,01;43,17;19,12;16,39;11,39;6,34;2,64;0,8;0,13;0,01;41,46;22,67;17,31;10,22;5,19;2,19;0,72;0,17;0,06;0,01;0
15;Pará;Estadual;Urbana;Capital;192,1;195,65;235,99;228,56;241,26;239,91;13,15;19,64;21,31;19,07;12,04;6,63;2,53;0,82;0,15;1,72;9,25;20,93;24,87;21,56;12,83;6,11;2,11;0,5;0,1;0,01;23,16;17,65;20,1;18,5;12,79;5,71;1,57;0,52;0;24,94;22,34;23,32;16,22;8,65;3,37;0,91;0,23;0,02;0;41,04;17,6;15,84;12,41;8,03;3,61;1,31;0,14;0,02;40,05;21,41;16,62;11,18;6,32;2,7;1,22;0,38;0,13;0;0
15;Pará;Estadual;Urbana;Interior;187,84;193,1;231,35;225,19;237,24;236,76;14,61;21,45;20,26;16,82;11,15;5,3;2,58;1,05;0,19;1,81;11,25;22,03;25,46;19,4;11,3;5,84;2,13;0,55;0,22;0,02;25,82;19,59;20,28;17,05;10,81;4,75;1,3;0,39;0;27,53;23,75;22,71;14,8;7,35;2,82;0,85;0,13;0,04;0,02;43,21;19,29;16,56;11,32;6,18;2,54;0,75;0,13;0,01;41,45;22,85;17,42;10,2;5,06;2,16;0,66;0,15;0,05;0,01;0
15;Pará;Estadual;Urbana;Total;190,46;194,67;233,03;226,41;237,87;237,25;13,71;20,34;20,91;18,21;11,7;6,12;2,55;0,91;0,17;1,75;10,02;21,35;25,1;20,73;12,24;6,01;2,11;0,52;0,15;0,01;24,86;18,88;20,22;17,58;11,53;5,1;1,4;0,44;0;26,59;23,24;22,93;15,32;7,82;3,02;0,87;0,17;0,03;0,01;42,87;19,03;16,44;11,49;6,47;2,71;0,83;0,14;0,01;41,23;22,63;17,3;10,35;5,25;2,24;0,75;0,18;0,06;0,01;0
15;Pará;Federal;Rural;Capital;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;Pará;Federal;Rural;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;Pará;Federal;Rural;Total;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;Pará;Federal;Total;Capital;245;241,59;296,38;299,13;319,34;326,25;1,24;4,97;7,72;18,87;21,45;19,93;17,05;5,6;3,17;0;1,85;5,08;7,97;21,2;23,61;16,91;15,14;5,7;2,54;0;1,41;3,87;7,92;12,81;22,7;25,37;19,2;6,73;0;2,78;2,44;9;16,24;20,92;17,1;16,26;11,43;2,73;1,11;4,96;4,34;6,38;10,67;21,67;27,07;16,22;7,43;1,27;3,36;8,72;9,15;11,12;13,47;16,92;16,29;10,1;7,98;2,88;0
15;Pará;Federal;Total;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;Pará;Federal;Total;Total;245;241,59;296,38;299,13;319,34;326,25;1,24;4,97;7,72;18,87;21,45;19,93;17,05;5,6;3,17;0;1,85;5,08;7,97;21,2;23,61;16,91;15,14;5,7;2,54;0;1,41;3,87;7,92;12,81;22,7;25,37;19,2;6,73;0;2,78;2,44;9;16,24;20,92;17,1;16,26;11,43;2,73;1,11;4,96;4,34;6,38;10,67;21,67;27,07;16,22;7,43;1,27;3,36;8,72;9,15;11,12;13,47;16,92;16,29;10,1;7,98;2,88;0
15;Pará;Federal;Urbana;Capital;245;241,59;296,38;299,13;319,34;326,25;1,24;4,97;7,72;18,87;21,45;19,93;17,05;5,6;3,17;0;1,85;5,08;7,97;21,2;23,61;16,91;15,14;5,7;2,54;0;1,41;3,87;7,92;12,81;22,7;25,37;19,2;6,73;0;2,78;2,44;9;16,24;20,92;17,1;16,26;11,43;2,73;1,11;4,96;4,34;6,38;10,67;21,67;27,07;16,22;7,43;1,27;3,36;8,72;9,15;11,12;13,47;16,92;16,29;10,1;7,98;2,88;0
15;Pará;Federal;Urbana;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;Pará;Federal;Urbana;Total;245;241,59;296,38;299,13;319,34;326,25;1,24;4,97;7,72;18,87;21,45;19,93;17,05;5,6;3,17;0;1,85;5,08;7,97;21,2;23,61;16,91;15,14;5,7;2,54;0;1,41;3,87;7,92;12,81;22,7;25,37;19,2;6,73;0;2,78;2,44;9;16,24;20,92;17,1;16,26;11,43;2,73;1,11;4,96;4,34;6,38;10,67;21,67;27,07;16,22;7,43;1,27;3,36;8,72;9,15;11,12;13,47;16,92;16,29;10,1;7,98;2,88;0
15;Pará;Municipal;Rural;Capital;191,48;202,22;0;0;0;0;14,11;13,11;23,11;14,33;13,11;7,89;3,33;1,44;0;5;8,11;10,78;24,33;20,78;21;3,33;3,33;3,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;Pará;Municipal;Rural;Interior;167,73;178,84;221,43;220,03;0;0;24,91;25,71;17,06;10,78;5,48;2,52;0,84;0,27;0,04;3,62;17,95;29,23;24,72;13,75;6,53;2,93;0,97;0,24;0,06;0,01;32,16;22,78;20,74;13,9;7,1;2,45;0,71;0,16;0;31,4;25,1;22,44;12,88;5,46;1,97;0,61;0,11;0,02;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;Pará;Municipal;Rural;Total;167,77;178,88;221,43;220,03;0;0;24,89;25,69;17,07;10,78;5,49;2,53;0,85;0,28;0,04;3,62;17,93;29,2;24,72;13,76;6,55;2,93;0,97;0,24;0,06;0,01;32,16;22,78;20,74;13,9;7,1;2,45;0,71;0,16;0;31,4;25,1;22,44;12,88;5,46;1,97;0,61;0,11;0,02;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;Pará;Municipal;Total;Capital;200,19;204,97;250,18;239,75;0;0;10,1;16,62;21,47;19;15,24;8,76;3,66;1,2;0,36;1,27;7,8;16,71;22,03;20,21;17,41;9,42;3,55;1,26;0,29;0,05;12,92;15,91;20,99;21,18;14,85;10,3;3,04;0,8;0;17,12;19,77;23,66;19,12;12,28;5,78;1,71;0,45;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;Pará;Municipal;Total;Interior;182,76;191,23;234,06;230,06;0;0;17,78;22,13;19,77;15,16;9,63;4,97;2,1;0,64;0,17;2,29;12,2;23,48;24,63;17,92;10,83;5,65;2,18;0,63;0,15;0,04;23,73;19,16;20,97;17,57;11,38;5,21;1,53;0,44;0;24,35;22,38;23,02;15,8;8,86;4;1,23;0,32;0,05;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;Pará;Municipal;Total;Total;183,6;191,89;234,54;230,35;0;0;17,41;21,87;19,85;15,35;9,9;5,15;2,17;0,67;0,18;2,24;11,99;23,16;24,51;18,03;11,15;5,84;2,25;0,66;0,15;0,04;23,4;19,06;20,97;17,68;11,49;5,37;1,58;0,45;0;24,13;22,3;23,04;15,9;8,96;4,06;1,24;0,32;0,05;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;Pará;Municipal;Urbana;Capital;200,28;205;250,18;239,75;0;0;10,06;16,66;21,45;19,05;15,26;8,76;3,66;1,2;0,37;1,24;7,8;16,78;22;20,2;17,37;9,48;3,55;1,23;0,3;0,06;12,92;15,91;20,99;21,18;14,85;10,3;3,04;0,8;0;17,12;19,77;23,66;19,12;12,28;5,78;1,71;0,45;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;Pará;Municipal;Urbana;Interior;189,9;197,12;241,01;235,58;0;0;14,39;20,43;21,05;17,24;11,61;6,13;2,69;0,81;0,23;1,66;9,47;20,75;24,59;19,9;12,88;6,95;2,76;0,81;0,19;0,05;19,08;17,16;21,1;19,6;13,75;6,73;1,99;0,59;0;20,46;20,88;23,33;17,4;10,73;5,12;1,57;0,43;0,07;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;Pará;Municipal;Urbana;Total;190,61;197,66;241,43;235,77;0;0;14,09;20,17;21,08;17,37;11,86;6,31;2,76;0,84;0,24;1,63;9,35;20,48;24,41;19,92;13,19;7,12;2,81;0,84;0,2;0,05;18,8;17,11;21,09;19,67;13,8;6,9;2,04;0,6;0;20,3;20,83;23,35;17,48;10,8;5,15;1,57;0,43;0,07;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;Pará;Privada;Rural;Capital;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;Pará;Privada;Rural;Interior;185,78;193,2;237,91;239,29;285,63;275,22;11,52;23,04;26,27;17,51;10,6;5,07;0;0;0;1,38;10,6;20,28;26,73;23,04;13,36;3,23;1,38;0;0;0;16,67;8,33;41,67;16,67;8,33;8,33;0;0;0;16,67;0;41,67;33,33;8,33;0;0;0;0;0;17,81;6,85;9,59;23,29;10,96;24,66;6,85;0;0;13,7;13,7;19,18;23,29;20,55;2,74;4,11;2,74;0;0;0
15;Pará;Privada;Rural;Total;185,78;193,2;237,91;239,29;285,63;275,22;11,52;23,04;26,27;17,51;10,6;5,07;0;0;0;1,38;10,6;20,28;26,73;23,04;13,36;3,23;1,38;0;0;0;16,67;8,33;41,67;16,67;8,33;8,33;0;0;0;16,67;0;41,67;33,33;8,33;0;0;0;0;0;17,81;6,85;9,59;23,29;10,96;24,66;6,85;0;0;13,7;13,7;19,18;23,29;20,55;2,74;4,11;2,74;0;0;0
15;Pará;Privada;Total;Capital;230,49;229,34;281,37;275,71;313,98;322,57;2,73;7,78;15,58;17,48;22,04;18,78;7,64;5,38;1,98;0,33;1,91;9,27;14,14;19,61;23,55;17,6;8,09;3,84;1,68;0;5,21;7,66;10,8;19,1;21,43;15,71;14,48;5,6;0;5,61;11,97;15,5;16,35;18,92;14,48;10,48;3,32;2,94;0,44;5,97;4,45;8,85;13,35;19,33;24,11;17,64;5,27;1,03;5,65;7,7;10,2;11,05;14,7;18,3;9,9;11,81;6,82;3,88;0
15;Pará;Privada;Total;Interior;232,16;230,39;286,12;279,22;301,24;310,98;3,8;6,13;14,6;17,29;24,08;16,63;10,35;4,51;2,14;0,46;2,51;5,9;17,05;21,34;20,1;16,9;10,23;3,66;1,11;0,74;3,88;5,13;11,21;15,87;22,46;23,76;11,51;6,17;0;5,03;9;13,39;19,34;18,43;18,34;10,19;4,98;1,13;0,16;8,46;6,04;14,06;14,33;22,01;19,84;11,42;3,31;0,53;5,94;7,15;12,38;15,16;20,16;16,35;11,93;5,21;3,87;1,85;0
15;Pará;Privada;Total;Total;231,48;229,96;283,94;277,61;307,43;316,61;3,36;6,8;15;17,37;23,25;17,5;9,24;4,86;2,08;0,4;2,27;7,27;15,86;20,63;21,51;17,18;9,36;3,74;1,34;0,44;4,49;6,29;11,02;17,36;21,99;20,06;12,88;5,91;0;5,3;10,37;14,36;17,97;18,65;16,57;10,32;4,22;1,96;0,29;7,25;5,27;11,52;13,86;20,71;21,91;14,44;4,26;0,77;5,8;7,42;11,32;13,16;17,51;17,3;10,94;8,42;5,3;2,84;0
15;Pará;Privada;Urbana;Capital;230,49;229,34;281,37;275,71;313,98;322,57;2,73;7,78;15,58;17,48;22,04;18,78;7,64;5,38;1,98;0,33;1,91;9,27;14,14;19,61;23,55;17,6;8,09;3,84;1,68;0;5,21;7,66;10,8;19,1;21,43;15,71;14,48;5,6;0;5,61;11,97;15,5;16,35;18,92;14,48;10,48;3,32;2,94;0,44;5,97;4,45;8,85;13,35;19,33;24,11;17,64;5,27;1,03;5,65;7,7;10,2;11,05;14,7;18,3;9,9;11,81;6,82;3,88;0
