CO_REGIAO;NO_REGIAO;DEPENDENCIA_ADM;LOCALIZACAO;CAPITAL;MEDIA_5_LP;MEDIA_5_MT;MEDIA_9_LP;MEDIA_9_MT;MEDIA_12_LP;MEDIA_12_MT;nivel_1_LP5;nivel_2_LP5;nivel_3_LP5;nivel_4_LP5;nivel_5_LP5;nivel_6_LP5;nivel_7_LP5;nivel_8_LP5;nivel_9_LP5;nivel_0_MT5;nivel_1_MT5;nivel_2_MT5;nivel_3_MT5;nivel_4_MT5;nivel_5_MT5;nivel_6_MT5;nivel_7_MT5;nivel_8_MT5;nivel_9_MT5;nivel_10_MT5;nivel_0_LP9;nivel_1_LP9;nivel_2_LP9;nivel_3_LP9;nivel_4_LP9;nivel_5_LP9;nivel_6_LP9;nivel_7_LP9;nivel_8_LP9;nivel_0_MT9;nivel_1_MT9;nivel_2_MT9;nivel_3_MT9;nivel_4_MT9;nivel_5_MT9;nivel_6_MT9;nivel_7_MT9;nivel_8_MT9;nivel_9_MT9;nivel_0_LP12;nivel_1_LP12;nivel_2_LP12;nivel_3_LP12;nivel_4_LP12;nivel_5_LP12;nivel_6_LP12;nivel_7_LP12;nivel_8_LP12;nivel_0_MT12;nivel_1_MT12;nivel_2_MT12;nivel_3_MT12;nivel_4_MT12;nivel_5_MT12;nivel_6_MT12;nivel_7_MT12;nivel_8_MT12;nivel_9_MT12;nivel_10_MT12
1;Norte;Total - Federal, Estadual e Municipal;Total;Interior;187,63;196,89;238,56;235,06;241,56;241,92;15,98;20,56;19,49;15,91;10,93;6,18;2,79;0,97;0,26;2,08;10,85;21,02;23,36;18,21;12,32;7,22;3,31;1,18;0,35;0,1;21,52;17,62;20,23;18,52;13,01;6,39;2,08;0,64;0;21,91;20,53;22,52;16,85;10,33;5,24;1,93;0,56;0,13;0,02;39,2;19,43;17,25;12,81;7,27;3,01;0,86;0,16;0,01;37,07;22,51;18,42;11,53;6,29;2,91;0,96;0,24;0,06;0,01;0
1;Norte;Total - Federal, Estadual e Municipal;Total;Total;193,02;201,99;242,8;238,25;245,33;244,5;13,99;18,85;19,29;16,91;12,4;7,44;3,55;1,29;0,34;1,83;9,4;18,96;22,33;18,74;13,55;8,6;4,25;1,68;0,51;0,14;19,37;16,39;19,73;19,03;14,36;7,59;2,66;0,88;0;20,18;19,71;22,21;17,43;11,22;5,95;2,35;0,73;0,19;0,04;36,55;18,78;17,4;13,64;8,44;3,76;1,18;0,25;0,01;35,37;21,98;18,58;12,12;6,88;3,34;1,22;0,37;0,13;0,02;0
1;Norte;Total - Federal, Estadual e Municipal;Urbana;Capital;209,28;217,27;253,94;246,56;253,87;250,33;8,09;13,71;18,63;19,8;16,84;11,29;5,89;2,26;0,58;1,05;5,13;12,82;19,2;20,24;17,25;12,78;7,03;3,22;1,01;0,27;13,76;13,18;18,36;20,36;17,87;10,78;4,2;1,49;0;15,71;17,61;21,37;18,86;13,53;7,82;3,45;1,21;0,36;0,08;30,61;17,21;17,7;15,51;11,09;5,5;1,91;0,45;0,03;31,58;20,73;18,88;13,46;8,21;4,35;1,82;0,65;0,27;0,06;0
1;Norte;Total - Federal, Estadual e Municipal;Urbana;Interior;194,25;202,67;244,12;239,73;243,51;243,67;13,04;19,05;20,35;17,58;12,71;7,37;3,42;1,2;0,34;1,51;8,48;18,55;23,07;19,63;14,07;8,57;4,05;1,48;0,45;0,13;17,77;16,29;20,29;19,9;14,83;7,6;2,53;0,79;0;18,75;19,37;22,64;18,12;11,76;6,17;2,33;0,69;0,15;0,02;37,47;19,38;17,67;13,33;7,76;3,26;0,94;0,17;0,01;35,55;22,5;18,75;12,01;6,65;3,14;1,05;0,27;0,07;0,01;0
1;Norte;Total - Federal, Estadual e Municipal;Urbana;Total;198,94;207,22;247,46;242,05;246,98;245,9;11,49;17,39;19,81;18,27;14;8,59;4,19;1,53;0,41;1,36;7,44;16,77;21,86;19,82;15,06;9,88;4,98;2,02;0,63;0,18;16,41;15,24;19,63;20,05;15,86;8,68;3,09;1,03;0;17,71;18,77;22,21;18,37;12,36;6,73;2,71;0,87;0,22;0,04;35,17;18,66;17,68;14,06;8,88;4,01;1,26;0,27;0,02;34,22;21,9;18,79;12,5;7,18;3,54;1,3;0,4;0,14;0,03;0
1;Norte;Total - Federal, Estadual, Municipal e Privada;Rural;Capital;194,86;205,45;244,72;240,84;243,19;243,21;11,75;18,23;20,04;19,33;13,19;7,11;3,16;1,34;0,29;1,8;7,46;16,88;22,19;20,94;14,27;8,85;5,36;1,69;0,44;0,12;17,99;15,6;20,72;19,46;15,21;7,38;2,64;1;0;18,09;18,56;22,7;19,59;11,63;6,48;2,37;0,27;0,23;0,07;34,73;23,85;18,84;12,94;7,15;1,4;0,9;0,2;0;33,19;24,23;21,34;11,03;7,39;2,13;0,49;0,09;0,11;0;0
1;Norte;Total - Federal, Estadual, Municipal e Privada;Rural;Interior;170,2;181,71;223,35;222,31;227,96;229,79;23,7;24,55;17,22;11,5;6,24;3,06;1,14;0,37;0,07;3,61;17,08;27,49;24,12;14,46;7,71;3,68;1,37;0,39;0,08;0,01;31,74;21,19;20,12;14,73;8,03;3,12;0,85;0,22;0;30,54;23,62;22,21;13,4;6,44;2,69;0,85;0,19;0,06;0;51,49;19,61;14,16;9,17;3,79;1,39;0,34;0,06;0;47,76;22,5;15,97;8,22;3,74;1,35;0,35;0,09;0,02;0;0
1;Norte;Total - Federal, Estadual, Municipal e Privada;Rural;Total;171,91;183,36;224,65;223,44;229,06;230,76;22,87;24,11;17,41;12,05;6,72;3,35;1,28;0,44;0,08;3,48;16,4;26,75;23,98;14,91;8,17;4,05;1,64;0,48;0,11;0,02;30,9;20,85;20,16;15,02;8,47;3,38;0,96;0,26;0;29,78;23,31;22,24;13,77;6,75;2,92;0,94;0,2;0,07;0,01;50,28;19,92;14,5;9,44;4,03;1,39;0,39;0,07;0;46,71;22,63;16,36;8,42;4;1,4;0,36;0,09;0,03;0;0
1;Norte;Total - Federal, Estadual, Municipal e Privada;Total;Capital;213,23;220,73;258,98;252,61;262,06;260,17;7,3;12,61;17,62;19,27;17,57;12,7;6,69;2,85;0,72;0,96;4,59;11,89;17,9;19,66;17,89;13,91;8,01;3,67;1,21;0,31;12,42;11,99;16,95;19,81;18,45;12,27;5,79;2,32;0;14;16,09;19,95;18,35;14,46;9,39;4,88;2,01;0,74;0,14;27,18;15,54;16,47;15,24;12,46;7,88;3,92;1,16;0,15;27,95;18,88;17,7;13,2;9,24;6,21;3,19;2,07;1,1;0,47;0
1;Norte;Total - Federal, Estadual, Municipal e Privada;Total;Interior;189,9;198,77;240,99;237,49;244,45;245,29;15,38;19,85;19,18;15,96;11,52;6,74;3,22;1,18;0,36;2,01;10,43;20,27;22,94;18,25;12,69;7,77;3,72;1,37;0,43;0,14;20,63;16,98;19,74;18,39;13,47;7,28;2,58;0,93;0;21,04;19,88;22,01;16,89;10,77;5,91;2,45;0,82;0,19;0,03;37,72;18,79;17,06;12,91;7,99;3,8;1,37;0,32;0,04;35,58;21,77;18,11;11,7;6,9;3,57;1,5;0,52;0,25;0,09;0
1;Norte;Total - Federal, Estadual, Municipal e Privada;Total;Total;196,56;205,04;246,57;242,17;250,37;250,29;13,07;17,79;18,73;16,91;13,24;8,44;4,21;1,66;0,46;1,71;8,76;17,88;21,5;18,65;14,17;9,52;4,95;2,02;0,65;0,19;18,08;15,44;18,88;18,83;15,01;8,82;3,58;1,36;0;18,86;18,71;21,37;17,35;11,91;6,99;3,2;1,19;0,36;0,07;34,18;17,7;16,86;13,69;9,5;5,17;2,23;0,6;0,07;33,02;20,8;17,97;12,2;7,69;4,45;2,07;1,04;0,54;0,22;0
1;Norte;Total - Federal, Estadual, Municipal e Privada;Urbana;Capital;214,18;221,53;259,52;253,05;262,4;260,48;7,07;12,32;17,5;19,27;17,79;12,99;6,87;2,93;0,74;0,91;4,45;11,63;17,67;19,59;18,08;14,18;8,15;3,77;1,25;0,32;12,21;11,86;16,81;19,82;18,58;12,45;5,91;2,37;0;13,84;15,99;19,84;18,31;14,57;9,5;4,97;2,07;0,76;0,15;27,04;15,39;16,43;15,28;12,56;8;3,97;1,18;0,15;27,86;18,78;17,63;13,24;9,27;6,28;3,24;2,11;1,12;0,48;0
1;Norte;Total - Federal, Estadual, Municipal e Privada;Urbana;Interior;196,9;204,84;246,99;242,65;246,6;247,31;12,42;18,18;19,87;17,55;13,39;8,04;3,95;1,47;0,46;1,44;8,07;17,7;22,52;19,59;14,46;9,22;4,56;1,71;0,55;0,18;16,85;15,55;19,62;19,63;15,32;8,69;3,17;1,17;0;17,81;18,62;21,94;18,08;12,25;7,01;3;1,03;0,23;0,04;35,93;18,68;17,44;13,4;8,54;4,12;1,5;0,35;0,04;33,99;21,68;18,39;12,15;7,32;3,86;1,65;0,58;0,28;0,1;0
1;Norte;Total - Federal, Estadual, Municipal e Privada;Urbana;Total;202,77;210,51;251,59;246,47;252,28;252,04;10,6;16,19;19,07;18,13;14,89;9,72;4,95;1,97;0,56;1,26;6,84;15,64;20,87;19,59;15,69;10,9;5,78;2,41;0,79;0,23;15,15;14,2;18,59;19,7;16,51;10,07;4,17;1,61;0;16,35;17,65;21,17;18,16;13,1;7,92;3,72;1,41;0,43;0,08;32,73;17,5;17,07;14,07;9,99;5,51;2,39;0,65;0,08;31,78;20,63;18,12;12,55;8,02;4,73;2,22;1,13;0,58;0,24;0
2;Nordeste;Estadual;Rural;Capital;175,95;179,52;229,54;218,2;233,23;236,01;25,25;17,13;23,75;11,69;11,31;3,5;0;0;0;9,69;12,81;26,44;20,63;17,56;8,19;3,13;1,56;0;0;0;26,04;23,35;19,3;15,29;11,36;3,37;1,12;0,17;0;33,7;23,85;20,87;13,96;5,88;1,38;0,37;0;0;0;45,49;20,99;16,88;10,42;4,71;1,27;0,18;0,08;0;38,55;25,4;20,36;10,37;3,87;0,96;0,26;0,23;0;0;0
2;Nordeste;Estadual;Rural;Interior;180,14;191,15;236,5;234,1;238,21;240,07;20,29;21,46;16,01;12,05;8,38;5,7;2,83;1,49;0,46;3,52;14,45;24,59;21,14;16,01;9,91;4,01;2,4;1,9;1,32;0,76;22,79;18,16;20,31;18,16;12,58;5,78;1,56;0,66;0;22,51;21,71;22,47;15,8;9,6;4,82;2,07;0,65;0,35;0,02;41,69;20,66;16,64;11,83;6,1;2,27;0,66;0,15;0;38,81;22,73;18,05;10,7;5,49;2,63;1,03;0,44;0,1;0,03;0
2;Nordeste;Estadual;Rural;Total;180,02;190,83;235,87;232,67;238;239,9;20,43;21,34;16,23;12,04;8,46;5,64;2,75;1,45;0,45;3,69;14,4;24,64;21,13;16,06;9,86;3,99;2,38;1,84;1,28;0,74;23,08;18,63;20,22;17,9;12,47;5,57;1,52;0,61;0;23,52;21,91;22,33;15,64;9,26;4,51;1,92;0,59;0,32;0,01;41,85;20,67;16,65;11,78;6,04;2,22;0,64;0,15;0;38,8;22,84;18,15;10,68;5,42;2,56;0,99;0,43;0,1;0,03;0
2;Nordeste;Estadual;Total;Capital;197,64;203,56;245,25;239,86;258,16;255,55;11,6;17,95;19,29;18,7;13,89;7,89;4,01;1,45;0,45;1,75;7,45;17,28;23,13;21,16;15,05;8,58;4,01;1,17;0,35;0,09;18,96;14,77;18,39;19,67;15,77;8,43;3;1,01;0;19,37;18,27;22,32;18,51;12,15;6,23;2,16;0,76;0,19;0,04;28,24;15,85;17,11;16,41;12,42;6,83;2,52;0,59;0,03;27,89;19,44;19,49;14,66;9,72;5,45;2,3;0,73;0,25;0,06;0
2;Nordeste;Estadual;Total;Interior;190,02;199;242,9;239,9;248,54;249,28;15,24;18,99;18,82;16,57;11,77;6,83;3,28;1,12;0,32;2,41;9,27;19,25;23,25;19,64;13,96;7,44;3,01;1,27;0,37;0,12;19,75;15,82;19,4;19,07;14,62;7,74;2,7;0,9;0;19,65;18,75;21,84;17,62;12,3;6,33;2,46;0,78;0,23;0,04;34,02;18,47;17,74;14,6;9,26;4,23;1,4;0,27;0,02;31,8;21,35;19,3;12,96;7,97;4,21;1,69;0,53;0,16;0,03;0
2;Nordeste;Estadual;Total;Total;192,71;200,61;243,8;239,88;250,22;250,38;13,95;18,62;18,99;17,32;12,52;7,2;3,54;1,24;0,36;2,18;8,63;18,55;23,21;20,18;14,34;7,84;3,36;1,23;0,36;0,11;19,45;15,42;19,01;19,3;15,06;8;2,81;0,94;0;19,55;18,56;22,02;17,96;12,25;6,3;2,34;0,77;0,21;0,04;33;18,01;17,63;14,92;9,81;4,68;1,6;0,33;0,02;31,11;21,02;19,33;13,26;8,28;4,43;1,8;0,57;0,18;0,03;0
2;Nordeste;Estadual;Urbana;Capital;197,76;203,7;245,41;240,08;258,56;255,86;11,53;17,95;19,26;18,74;13,91;7,91;4,03;1,46;0,45;1,71;7,42;17,22;23,14;21,18;15,09;8,61;4,02;1,17;0,35;0,09;18,89;14,69;18,38;19,71;15,82;8,48;3,02;1,02;0;19,23;18,21;22,33;18,56;12,22;6,28;2,18;0,76;0,19;0,04;27,96;15,76;17,12;16,5;12,55;6,92;2,56;0,6;0,03;27,73;19,35;19,47;14,73;9,81;5,53;2,33;0,74;0,25;0,06;0
2;Nordeste;Estadual;Urbana;Interior;191,18;199,92;243,34;240,29;249,39;250,04;14,64;18,7;19,15;17,1;12,17;6,96;3,33;1,07;0,3;2,28;8,66;18,63;23,5;20,07;14,43;7,84;3,08;1,2;0,26;0,05;19,55;15,67;19,34;19,14;14,76;7,87;2,78;0,91;0;19,46;18,55;21,8;17,74;12,48;6,44;2,48;0,79;0,22;0,04;33,38;18,29;17,83;14,83;9,52;4,39;1,46;0,28;0,02;31,22;21,24;19,4;13,15;8,18;4,34;1,74;0,54;0,17;0,03;0
2;Nordeste;Estadual;Urbana;Total;193,66;201,35;244,15;240,2;251,08;251,11;13,47;18,42;19,19;17,72;12,82;7,32;3,6;1,22;0,36;2,06;8,19;18,1;23,36;20,49;14,68;8,13;3,44;1,19;0,29;0,06;19,29;15,28;18,96;19,36;15,17;8,11;2,87;0,95;0;19,37;18,41;22,01;18,06;12,38;6,38;2,36;0,78;0,21;0,04;32,38;17,82;17,7;15,14;10,08;4,85;1,67;0,34;0,02;30,58;20,89;19,41;13,44;8,48;4,56;1,85;0,58;0,18;0,03;0
2;Nordeste;Federal;Rural;Capital;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;Nordeste;Federal;Rural;Interior;205,64;210,61;0;0;320,39;327,68;8,33;25;16,67;16,67;8,33;16,67;8,33;0;0;0;0;8,33;25;50;0;16,67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,32;4,85;3,08;12,6;30,45;23,14;20,31;1,93;1,31;1,77;2,05;8,91;11,55;14,85;24,05;28,59;6,31;1,93;0;0
2;Nordeste;Federal;Rural;Total;205,64;210,61;0;0;320,39;327,68;8,33;25;16,67;16,67;8,33;16,67;8,33;0;0;0;0;8,33;25;50;0;16,67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,32;4,85;3,08;12,6;30,45;23,14;20,31;1,93;1,31;1,77;2,05;8,91;11,55;14,85;24,05;28,59;6,31;1,93;0;0
2;Nordeste;Federal;Total;Capital;255,67;262,78;322,27;343,59;325,83;347,28;1,1;4,4;5,54;11,9;15,74;24,41;22,36;13,41;1,14;0;0;2,16;4,45;14,41;15,53;21,01;27,8;5,69;6,68;2,27;0,41;0,87;2,77;5,48;16,93;22,78;22,88;27,88;0;0,23;0,22;3,41;6,05;8,9;15,74;14,93;21;18,14;11,39;2,38;4,47;5,29;12,11;23,48;19,09;20,27;11,03;1,88;1,63;3,05;5,17;9,04;14,98;16,34;17,57;12,9;10,67;8,66;0
2;Nordeste;Federal;Total;Interior;205,64;210,61;287,5;293,91;311,36;325,23;8,33;25;16,67;16,67;8,33;16,67;8,33;0;0;0;0;8,33;25;50;0;16,67;0;0;0;0;1,82;3,57;14,17;17,93;23,13;19,75;10,72;8,9;0;3,57;3,51;5,39;17,93;24,95;19,56;16,18;7,15;1,75;0;6,76;5,26;6,69;12,72;25,2;21,51;16,96;4,56;0,34;4,13;4,69;7,68;12,6;14,98;18,44;22,96;9,45;4,26;0,81;0
2;Nordeste;Federal;Total;Total;249,36;256,2;318,69;338,47;319,39;337,47;2,01;7;6,94;12,5;14,81;23,43;20,59;11,71;1;0;0;2,94;7,04;18,9;13,57;20,46;24,29;4,97;5,84;1,99;0,56;1,15;3,95;6,76;17,56;22,47;21,63;25,92;0;0,58;0,56;3,61;7,27;10,55;16,13;15,06;19,57;16,45;10,21;4,33;4,82;5,91;12,39;24,25;20,17;18,79;8,15;1,2;2,74;3,78;6,28;10,63;14,98;17,28;19,97;11,36;7,82;5,17;0
2;Nordeste;Federal;Urbana;Capital;255,67;262,78;322,27;343,59;325,83;347,28;1,1;4,4;5,54;11,9;15,74;24,41;22,36;13,41;1,14;0;0;2,16;4,45;14,41;15,53;21,01;27,8;5,69;6,68;2,27;0,41;0,87;2,77;5,48;16,93;22,78;22,88;27,88;0;0,23;0,22;3,41;6,05;8,9;15,74;14,93;21;18,14;11,39;2,38;4,47;5,29;12,11;23,48;19,09;20,27;11,03;1,88;1,63;3,05;5,17;9,04;14,98;16,34;17,57;12,9;10,67;8,66;0
2;Nordeste;Federal;Urbana;Interior;0;0;287,5;293,91;308,22;324,38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,82;3,57;14,17;17,93;23,13;19,75;10,72;8,9;0;3,57;3,51;5,39;17,93;24,95;19,56;16,18;7,15;1,75;0;8,3;5,4;7,94;12,77;23,38;20,95;15,79;5,48;0;4,95;5,61;7,25;12,97;15,02;16,5;21;10,54;5,07;1,09;0
2;Nordeste;Federal;Urbana;Total;255,67;262,78;318,69;338,47;319,26;338,74;1,1;4,4;5,54;11,9;15,74;24,41;22,36;13,41;1,14;0;0;2,16;4,45;14,41;15,53;21,01;27,8;5,69;6,68;2,27;0,56;1,15;3,95;6,76;17,56;22,47;21,63;25,92;0;0,58;0,56;3,61;7,27;10,55;16,13;15,06;19,57;16,45;10,21;4,59;4,82;6,28;12,36;23,44;19,78;18,6;8,96;1,18;2,87;4,01;5,94;10,51;15;16,4;18,85;12,02;8,58;5,84;0
2;Nordeste;Municipal;Rural;Capital;190,93;202,95;244,14;242,11;0;0;15,1;18,95;20,32;15,85;11,64;7,89;2,76;0,94;0,34;1,37;9,83;20,73;21,28;17,11;12,87;8,37;5,32;2,21;0,64;0,27;18,32;15,13;21,65;20,5;13,57;6,76;3,46;0,62;0;20,28;19,7;19,71;15,3;11,08;8,21;3,36;1,74;0,44;0,18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;Nordeste;Municipal;Rural;Interior;182,87;193,97;231,84;231,32;231,58;234,23;19;21,01;17,72;13,9;9,72;5,64;2,64;1,08;0,29;2,86;12,96;22,63;22,05;16,5;11,11;6,46;3,3;1,41;0,53;0,19;27,25;18,54;19,32;16,3;10,74;5,4;1,86;0,58;0;26,16;21,21;20,81;14,78;9,1;4,71;2,04;0,87;0,24;0,08;46,8;21,36;16,97;9,22;4,37;1,12;0,16;0;0;44,69;22,64;17,13;8,62;4,73;1,46;0,57;0,16;0;0;0
2;Nordeste;Municipal;Rural;Total;183,01;194,13;232,01;231,47;231,58;234,23;18,93;20,97;17,76;13,93;9,75;5,67;2,64;1,08;0,29;2,84;12,91;22,6;22,03;16,51;11,14;6,49;3,33;1,42;0,54;0,19;27,13;18,49;19,35;16,36;10,78;5,42;1,88;0,58;0;26,08;21,19;20,79;14,79;9,13;4,76;2,06;0,88;0,25;0,08;46,8;21,36;16,97;9,22;4,37;1,12;0,16;0;0;44,69;22,64;17,13;8,62;4,73;1,46;0,57;0,16;0;0;0
2;Nordeste;Municipal;Total;Capital;207,14;213,33;255,47;250,17;0;0;8,69;14,44;18,98;19,49;16,43;11,01;5,4;1,94;0,49;1,01;5,45;13,59;20,52;21,4;17,66;11,51;5,76;2,23;0,68;0,19;13,55;12,43;17,76;20,12;18,55;11,63;4,43;1,52;0;14,62;16,09;20,35;19,33;14,82;8,87;3,85;1,44;0,48;0,14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;Nordeste;Municipal;Total;Interior;190,41;199,81;239,24;237,21;235,29;237,93;15,58;19,31;18,57;15,74;11,63;7,04;3,38;1,43;0,39;2,2;10,36;20,04;22,14;18,2;12,96;7,77;3,84;1,58;0,64;0,28;22,38;16,91;19,31;17,98;13,06;6,89;2,58;0,89;0;22,08;19,77;21,19;16,33;10,83;5,82;2,54;1,01;0,33;0,1;45,15;19,43;16,11;10,87;5,86;1,77;0,67;0,14;0;41,94;22,51;16,55;9,42;5,7;2,52;0,99;0,31;0,06;0;0
2;Nordeste;Municipal;Total;Total;192,35;201,38;240,33;238,09;235,29;237,93;14,78;18,75;18,62;16,17;12,19;7,5;3,62;1,49;0,4;2,06;9,78;19,29;21,95;18,57;13,5;8,21;4,06;1,65;0,64;0,27;21,78;16,6;19,21;18,12;13,43;7,21;2,7;0,94;0;21,58;19,52;21,13;16,53;11,1;6,02;2,63;1,04;0,34;0,1;45,15;19,43;16,11;10,87;5,86;1,77;0,67;0,14;0;41,94;22,51;16,55;9,42;5,7;2,52;0,99;0,31;0,06;0;0
2;Nordeste;Municipal;Urbana;Capital;207,8;213,76;256,14;250,65;0;0;8,43;14,25;18,92;19,64;16,62;11,13;5,51;1,98;0,49;1;5,27;13,29;20,49;21,58;17,85;11,63;5,78;2,23;0,68;0,19;13,27;12,27;17,53;20,09;18,84;11,92;4,49;1,57;0;14,29;15,88;20,39;19,57;15,04;8,91;3,88;1,43;0,49;0,14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;Nordeste;Municipal;Urbana;Interior;193,65;202,32;242,33;239,68;240,38;243,02;14,11;18,58;18,94;16,53;12,46;7,64;3,7;1,58;0,43;1,91;9,23;18,93;22,18;18,93;13,75;8,34;4,07;1,65;0,68;0,32;20,34;16,22;19,3;18,68;14,03;7,52;2,88;1,02;0;20,37;19,17;21,35;16,98;11,56;6,28;2,75;1,08;0,36;0,11;42,88;16,78;14,91;13,13;7,9;2,67;1,38;0,34;0;38,16;22,33;15,75;10,53;7,03;3,97;1,56;0,52;0,15;0;0
2;Nordeste;Municipal;Urbana;Total;195,82;204,07;243,55;240,65;240,38;243,02;13,24;17,92;18,93;17;13,09;8,18;3,98;1,64;0,44;1,77;8,63;18,07;21,93;19,34;14,38;8,84;4,33;1,74;0,68;0,3;19,71;15,87;19,15;18,81;14,46;7,91;3,02;1,07;0;19,83;18,88;21,26;17,2;11,87;6,51;2,85;1,11;0,37;0,11;42,88;16,78;14,91;13,13;7,9;2,67;1,38;0,34;0;38,16;22,33;15,75;10,53;7,03;3,97;1,56;0,52;0,15;0;0
2;Nordeste;Privada;Rural;Capital;199,38;218,8;254,6;245,35;0;0;7,69;19,23;11,54;34,62;19,23;3,85;0;0;0;0;0;3,85;30,77;23,08;26,92;7,69;7,69;0;0;0;13,89;13,89;8,33;25;19,44;13,89;2,78;2,78;0;11,11;16,67;13,89;36,11;19,44;2,78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;Nordeste;Privada;Rural;Interior;203,56;208,35;267,04;263,83;289,69;291,72;6,74;16,35;21,35;21,98;17,19;10,83;1,88;1,12;0,18;1,21;4,74;16,39;22,67;21,52;18,03;9,93;3,41;1,97;0;0,13;8,33;16,13;10,93;14,41;27,62;11,9;6,88;3,79;0;11,96;11,8;12,32;22,21;17,93;14,22;8,86;0,7;0;0;8,11;9,81;12,84;29,37;18,07;14,66;6,54;0,59;0;5,49;7,55;25,61;19,2;18,67;11,44;8,5;3,54;0;0;0
2;Nordeste;Privada;Rural;Total;203,02;209,72;266,14;262,48;289,69;291,72;6,86;16,73;20,08;23,63;17,45;9,92;1,64;0,97;0,16;1,05;4,13;14,75;23,72;21,72;19,19;9,64;3,97;1,72;0;0,11;8,73;15,97;10,74;15,18;27,03;12,05;6,58;3,72;0;11,9;12,16;12,43;23,22;18,04;13,39;8,22;0,65;0;0;8,11;9,81;12,84;29,37;18,07;14,66;6,54;0,59;0;5,49;7,55;25,61;19,2;18,67;11,44;8,5;3,54;0;0;0
2;Nordeste;Privada;Total;Capital;229,04;235,26;285,52;288,25;308,91;319,57;2,84;8,07;12,88;20,37;23,74;16,45;9,29;4,51;0,81;0,35;2,24;6,31;14,06;18,29;22,56;17,18;10,75;5,56;1,9;0,79;5,29;5,54;11,2;16,16;20,44;20,79;13,02;7,57;0;3,85;7,27;11,88;16,11;18,81;18,22;12,89;7,4;2,84;0,73;8,2;5,59;9,28;13,45;20,46;20,82;15,19;6,22;0,79;7,69;6,53;9,79;12,72;14,16;16;13,24;9,81;6,9;3,09;0,07
2;Nordeste;Privada;Total;Interior;231,1;236,61;280,47;284,97;306,96;316,08;2,87;6,97;12,88;21,1;21,2;18,59;10,01;4,67;0,97;0,25;1,91;5,76;11,7;20,27;22,27;18,71;12,38;4,94;1,43;0,39;6,27;6,81;11,2;16,5;21,86;20,55;12,05;4,76;0;4,94;6,01;12,4;17,6;19,55;18,08;12,93;5,93;2,21;0,34;7,61;6,03;9,7;15;21,12;20,8;14,04;5,1;0,61;6,78;7,28;10,93;12,49;16,06;16,67;13,86;8,95;5,23;1,71;0,04
2;Nordeste;Privada;Total;Total;230,33;236,1;282,65;286,38;307,98;317,91;2,86;7,38;12,88;20,83;22,15;17,78;9,74;4,61;0,91;0,29;2,03;5,97;12,59;19,52;22,38;18,13;11,77;5,17;1,61;0,54;5,85;6,26;11,2;16,35;21,24;20,65;12,47;5,97;0;4,47;6,56;12,18;16,96;19,23;18,14;12,91;6,57;2,48;0,51;7,92;5,8;9,48;14,19;20,77;20,81;14,64;5,69;0,7;7,26;6,89;10,33;12,61;15,06;16,32;13,53;9,4;6,11;2,43;0,05
2;Nordeste;Privada;Urbana;Capital;229,16;235,33;285,57;288,31;308,91;319,57;2,82;8,03;12,89;20,31;23,76;16,5;9,32;4,53;0,81;0,35;2,25;6,32;13,99;18,27;22,54;17,22;10,77;5,58;1,91;0,8;5,27;5,52;11,21;16,15;20,44;20,8;13,03;7,58;0;3,84;7,26;11,88;16,08;18,81;18,24;12,91;7,41;2,85;0,73;8,2;5,59;9,28;13,45;20,46;20,82;15,19;6,22;0,79;7,69;6,53;9,79;12,72;14,16;16;13,24;9,81;6,9;3,09;0,07
2;Nordeste;Privada;Urbana;Interior;231,55;237,07;280,66;285,26;307,17;316,37;2,81;6,81;12,75;21,09;21,26;18,71;10,14;4,72;0,98;0,23;1,86;5,59;11,52;20,25;22,34;18,85;12,52;4,98;1,46;0,39;6,25;6,68;11,2;16,53;21,78;20,67;12,12;4,77;0;4,84;5,93;12,41;17,54;19,58;18,13;12,99;6,01;2,24;0,34;7,6;5,98;9,66;14,83;21,15;20,87;14,13;5,16;0,61;6,8;7,28;10,75;12,41;16,03;16,73;13,92;9,01;5,29;1,73;0,04
